year	imdbId	title	originalTitle	genre1	genre2	genre3	boxOffice	rank	category	winner
2018	5776858	Phantom Thread	Phantom Thread	Drama	Romance		21023275	97	Best Picture	false
2018	5580390	La forme de l'eau	La forme de l'eau	Adventure	Drama	Fantasy	63859435	46	Best Directing	true
2018	5013056	Dunkerque	Dunkerque	Action	Drama	History	188373161	14	Best Directing	false
2018	4925292	Lady Bird	Lady Bird	Comedy	Drama		48958273	56	Best Directing	false
2018	5052448	Get Out	Get Out	Horror	Mystery	Thriller	176040665	15	Best Directing	false
2018	5776858	Phantom Thread	Phantom Thread	Drama	Romance		21023275	97	Best Directing	false
2018	5052448	Get Out	Get Out	Horror	Mystery	Thriller	176040665	15	Best Original Screenplay	true
2018	5027774	3 Billboards: Les panneaux de la vengeance	Three Billboards Outside Ebbing, Missouri	Comedy	Crime	Drama	54513740	52	Best Original Screenplay	false
2018	5580390	La forme de l'eau	The Shape of Water	Adventure	Drama	Fantasy	63859435	46	Best Original Screenplay	false
2018	4925292	Lady Bird	Lady Bird	Comedy	Drama		48958273	56	Best Original Screenplay	false
2018	5462602	The Big Sick	The Big Sick	Comedy	Drama	Romance	42872467	64	Best Original Screenplay	false
2018	5726616	Call Me by Your Name	Call Me by Your Name	Drama	Romance		18095701	104	Best Adapted Screenplay	true
2018	4209788	Le grand jeu	Molly's Game	Biography	Crime	Drama	28780744	83	Best Adapted Screenplay	false
2018	3315342	Logan	Logan	Action	Drama	Sci-Fi	226277068	11	Best Adapted Screenplay	false
2018	3521126	The Disaster Artist	The Disaster Artist	Biography	Comedy	Drama	21120616	96	Best Adapted Screenplay	false
2018	1856101	Blade Runner 2049	Blade Runner 2049	Drama	Mystery	Sci-Fi	92054159	33	Best Cinematography	true
2018	5013056	Dunkerque	Dunkirk	Action	Drama	History	188373161	14	Best Cinematography	false
2018	5580390	La forme de l'eau	The Shape of Water	Adventure	Drama	Fantasy	63859435	46	Best Cinematography	false
2018	4555426	Les heures sombres	Darkest Hour	Biography	Drama	History	56443120	50	Best Cinematography	false
2018	1856101	Blade Runner 2049	Blade Runner 2049	Drama	Mystery	Sci-Fi	92054159	33	Best Visual Effects	true
2018	3731562	Kong: Skull Island	Kong: Skull Island	Action	Adventure	Fantasy	168052812	20	Best Visual Effects	false
2018	3450958	La planète des singes: Suprématie	War for the Planet of the Apes	Action	Adventure	Drama	146880162	22	Best Visual Effects	false
2018	3896198	Les gardiens de la galaxie Vol. 2	Guardians of the Galaxy Vol. 2	Action	Adventure	Comedy	389813101	5	Best Visual Effects	false
2018	2527336	Star Wars: Episode VIII - Les derniers Jedi	Star Wars: Episode VIII - The Last Jedi	Action	Adventure	Fantasy	620181382	1	Best Visual Effects	false
2017	4975722	Moonlight	Moonlight	Drama			28686439	96	Best Picture	true
2017	2582782	Comancheria	Hell or High Water	Action	Crime	Drama	27668323	99	Best Picture	false
2017	2671706	Fences	Fences	Drama			59372249	58	Best Picture	false
2017	3783958	La La Land	La La Land	Comedy	Drama	Music	155634857	19	Best Picture	false
2017	4846340	Les figures de l'ombre	Hidden Figures	Biography	Drama	History	174695505	14	Best Picture	false
2017	3741834	Lion	Lion	Biography	Drama		53245699	67	Best Picture	false
2017	4034228	Manchester by the Sea	Manchester by the Sea	Drama			49125973	70	Best Picture	false
2017	2543164	Premier contact	Arrival	Drama	Mystery	Sci-Fi	103562523	30	Best Picture	false
2017	2119532	Tu ne tueras point	Hacksaw Ridge	Biography	Drama	History	69225903	47	Best Picture	false
2017	3783958	La La Land	La La Land	Comedy	Drama	Music	155634857	19	Best Directing	true
2017	4975722	Moonlight	Moonlight	Drama			28686439	96	Best Directing	false
2017	2543164	Premier contact	Premier contact	Drama	Mystery	Sci-Fi	103562523	30	Best Directing	false
2017	4034228	Manchester by the Sea	Manchester by the Sea	Drama			49125973	70	Best Directing	false
2017	2119532	Tu ne tueras point	Tu ne tueras point	Biography	Drama	History	69225903	47	Best Directing	false
2017	4034228	Manchester by the Sea	Manchester by the Sea	Drama			49125973	70	Best Original Screenplay	true
2017	4385888	20th Century Women	20th Century Women	Comedy	Drama		5833770	162	Best Original Screenplay	false
2017	2582782	Comancheria	Hell or High Water	Action	Crime	Drama	27668323	99	Best Original Screenplay	false
2017	3783958	La La Land	La La Land	Comedy	Drama	Music	155634857	19	Best Original Screenplay	false
2017	3464902	The Lobster	The Lobster	Comedy	Drama	Romance	8960212	123	Best Original Screenplay	false
2017	4975722	Moonlight	Moonlight	Drama			28686439	96	Best Adapted Screenplay	true
2017	2671706	Fences	Fences	Drama			59372249	58	Best Adapted Screenplay	false
2017	4846340	Les figures de l'ombre	Hidden Figures	Biography	Drama	History	174695505	14	Best Adapted Screenplay	false
2017	3741834	Lion	Lion	Biography	Drama		53245699	67	Best Adapted Screenplay	false
2017	2543164	Premier contact	Arrival	Drama	Mystery	Sci-Fi	103562523	30	Best Adapted Screenplay	false
2017	3783958	La La Land	La La Land	Comedy	Drama	Music	155634857	19	Best Cinematography	true
2017	3741834	Lion	Lion	Biography	Drama		53245699	67	Best Cinematography	false
2017	4975722	Moonlight	Moonlight	Drama			28686439	96	Best Cinematography	false
